Titulo,A̱o,Rating
Boston Bruins,1990,44.0
Buffalo Sabres,1990,31.0
Calgary Flames,1990,46.0
Chicago Blackhawks,1990,49.0
Detroit Red Wings,1990,34.0
Edmonton Oilers,1990,37.0
Hartford Whalers,1990,31.0
Los Angeles Kings,1990,46.0
Minnesota North Stars,1990,27.0
Montreal Canadiens,1990,39.0
New Jersey Devils,1990,32.0
New York Islanders,1990,25.0
New York Rangers,1990,36.0
Philadelphia Flyers,1990,33.0
Pittsburgh Penguins,1990,41.0
Quebec Nordiques,1990,16.0
St. Louis Blues,1990,47.0
Toronto Maple Leafs,1990,23.0
Vancouver Canucks,1990,28.0
Washington Capitals,1990,37.0
Winnipeg Jets,1990,26.0
Boston Bruins,1991,36.0
Buffalo Sabres,1991,31.0
Calgary Flames,1991,31.0
Chicago Blackhawks,1991,36.0
